MatchId,Patch,RankFk,GameDuration,TeamID,B1Champ,B2Champ,B3Champ,B4Champ,B5Champ,R1Champ,R2Champ,R3Champ,R4Champ,R5Champ,BlueBaronKills,BlueRiftHeraldKills,BlueDragonKills,BlueTowerKills,BlueKills,RedBaronKills,RedRiftHeraldKills,RedDragonKills,RedTowerKills,RedKills,RedWin,BlueWin
KR_8037471853,16.01,0,1509,211425,83,126,800,145,223,420,266,90,81,350,1,1,3,11,28,0,0,0,0,12,0,1
KR_8037472039,16.01,0,1869,192651,150,121,84,360,497,39,234,777,157,164,0,0,1,9,50,0,1,3,6,38,0,1
KR_8037472128,16.01,0,2347,186024,36,517,8,145,117,126,54,7,236,25,1,0,3,8,43,1,1,3,10,39,0,1
KR_8037472416,16.01,0,1815,205304,799,64,711,804,267,110,126,84,523,412,0,1,3,3,40,1,0,2,11,47,1,0
KR_8037472619,16.01,0,1231,195403,122,245,157,804,111,74,35,80,51,267,0,0,0,1,9,0,1,2,3,25,1,0
KR_8037474019,16.01,0,1263,202335,126,106,84,360,57,266,245,517,15,267,0,0,2,1,12,0,1,0,4,23,1,0
KR_8037474369,16.01,0,1302,192048,887,104,777,523,117,48,72,84,81,518,0,0,2,5,26,0,0,1,0,14,0,1
KR_8037474635,16.01,0,945,186184,157,234,13,202,800,240,131,777,51,101,0,0,1,4,22,0,1,0,0,7,0,1
KR_8037474731,16.01,0,2065,173221,24,126,110,236,875,58,76,157,145,36,0,0,0,2,35,0,1,4,7,27,0,1
KR_8037475133,16.01,0,1873,200541,420,29,103,18,555,84,5,105,21,76,0,1,0,2,27,0,0,4,12,54,1,0
KR_8037475146,16.01,0,1268,200721,82,234,777,236,99,875,141,238,115,147,0,0,3,6,31,0,0,0,0,11,0,1
KR_8037475657,16.01,0,2050,196160,106,154,7,21,25,904,54,55,51,147,0,0,1,2,32,1,0,3,11,48,1,0
KR_8037475684,16.01,0,1745,175110,122,24,136,22,555,897,131,39,110,518,0,0,3,6,37,0,1,1,4,31,0,1
KR_8037475765,16.01,0,938,192135,17,121,18,51,99,86,5,90,523,800,0,0,2,3,23,0,0,0,0,10,0,1
KR_8037475818,16.01,0,1847,172244,39,106,105,51,143,110,126,90,81,432,2,0,4,10,42,0,0,0,2,28,0,1
KR_8037476221,16.01,0,1639,203343,86,33,39,804,25,17,24,142,236,111,1,1,3,9,30,0,0,1,3,20,0,1
KR_8037476238,16.01,0,1628,173243,39,131,103,221,111,106,5,61,360,497,0,0,0,2,23,1,1,4,10,49,1,0
KR_8037476253,16.01,0,1827,189848,8,54,39,51,45,799,126,61,145,518,0,1,1,5,28,1,0,2,6,32,1,0
KR_8037476484,16.01,0,1954,169679,266,64,13,236,267,223,421,245,15,497,0,1,2,7,39,1,0,3,4,25,0,1
KR_8037476520,16.01,0,1208,177560,799,24,3,21,76,85,200,91,15,17,0,0,1,0,7,0,1,1,7,25,1,0
KR_8037477012,16.01,0,1478,174833,950,126,777,145,518,24,121,157,222,53,0,0,1,2,15,0,1,2,4,32,1,0
KR_8037477649,16.01,0,1238,182255,234,64,112,81,201,421,887,54,15,235,0,0,0,1,11,0,0,2,2,15,1,0
KR_8037477964,16.01,0,1838,207146,126,62,9,81,99,122,32,105,15,412,0,1,1,3,13,1,0,4,11,39,1,0
KR_8037478974,16.01,0,1337,177787,777,517,157,21,107,17,238,39,523,432,0,0,0,3,27,0,1,3,6,19,1,0
KR_8037479473,16.01,0,1552,203518,110,154,245,18,412,2,19,4,901,111,0,1,1,3,24,1,0,3,10,51,1,0
KR_8037480061,16.01,0,1767,169588,897,5,81,236,201,110,904,99,221,350,1,0,3,12,62,0,1,1,2,35,0,1
